index,season,conf,division,team,wins,losses,ties,pct,div_rank,scored,allowed,net,sov,sos,seed,playoff,scored_diff,net_diff,sign
60,2003,NFC,NFC West,ARI,4,12,0,0.25,4,225,452,-227,0.53125,0.542969,NaN,NaN,-37.0,-72.0,0
92,2004,NFC,NFC West,ARI,6,10,0,0.375,3,284,322,-38,0.416667,0.460938,NaN,NaN,59.0,189.0,1
124,2005,NFC,NFC West,ARI,5,11,0,0.3125,3,311,387,-76,0.3,0.507812,NaN,NaN,27.0,-38.0,0
156,2006,NFC,NFC West,ARI,5,11,0,0.3125,4,314,389,-75,0.425,0.5,NaN,NaN,3.0,1.0,1
188,2007,NFC,NFC West,ARI,8,8,0,0.5,2,404,399,5,0.421875,0.433594,NaN,NaN,90.0,80.0,1
220,2008,NFC,NFC West,ARI,9,7,0,0.5625,1,427,426,1,0.368056,0.484375,4.0,LostSB,23.0,-4.0,0
252,2009,NFC,NFC West,ARI,10,6,0,0.625,1,375,325,50,0.35625,0.445312,4.0,LostDV,-52.0,49.0,1
284,2010,NFC,NFC West,ARI,5,11,0,0.3125,4,289,434,-145,0.45,0.464844,NaN,NaN,-86.0,-195.0,0
316,2011,NFC,NFC West,ARI,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,NaN,NaN,23.0,109.0,1
348,2012,NFC,NFC West,ARI,5,11,0,0.3125,4,250,357,-107,0.475,0.550781,NaN,NaN,-62.0,-71.0,0
380,2013,NFC,NFC West,ARI,10,6,0,0.625,3,379,324,55,0.45,0.535156,NaN,NaN,129.0,162.0,1
412,2014,NFC,NFC West,ARI,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,5.0,LostWC,-69.0,-44.0,0
444,2015,NFC,NFC West,ARI,13,3,0,0.8125,1,497,319,178,0.451923,0.472656,2.0,LostCC,187.0,167.0,1
476,2016,NFC,NFC West,ARI,7,8,1,0.46875,2,418,362,56,0.357143,0.457031,NaN,NaN,-79.0,-122.0,0
508,2017,NFC,NFC West,ARI,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,NaN,NaN,-123.0,-122.0,0
540,2018,NFC,NFC West,ARI,3,13,0,0.1875,4,225,425,-200,0.291667,0.523438,NaN,NaN,-70.0,-134.0,0
572,2019,NFC,NFC West,ARI,5,10,1,0.34375,4,361,442,-81,0.375,0.527344,NaN,NaN,136.0,119.0,1
604,2020,NFC,NFC West,ARI,2,2,0,0.5,3,98,92,6,0.09375,0.0234375,NaN,NaN,-263.0,87.0,1
24,2002,NFC,NFC South,ATL,9,6,1,0.59375,2,402,314,88,0.416667,0.492188,6.0,LostDV,304.0,82.0,1
56,2003,NFC,NFC South,ATL,5,11,0,0.3125,4,299,422,-123,0.4625,0.539062,NaN,NaN,-103.0,-211.0,0
88,2004,NFC,NFC South,ATL,11,5,0,0.6875,1,340,337,3,0.431818,0.433594,2.0,LostCC,41.0,126.0,1
120,2005,NFC,NFC South,ATL,8,8,0,0.5,3,351,341,10,0.34375,0.492188,NaN,NaN,11.0,7.0,1
152,2006,NFC,NFC South,ATL,7,9,0,0.4375,3,292,328,-36,0.375,0.457031,NaN,NaN,-59.0,-46.0,0
184,2007,NFC,NFC South,ATL,4,12,0,0.25,4,259,414,-155,0.46875,0.515625,NaN,NaN,-33.0,-119.0,0
216,2008,NFC,NFC South,ATL,11,5,0,0.6875,2,391,325,66,0.403409,0.457031,5.0,LostWC,132.0,221.0,1
248,2009,NFC,NFC South,ATL,9,7,0,0.5625,2,363,325,38,0.381944,0.503906,NaN,NaN,-28.0,-28.0,0
280,2010,NFC,NFC South,ATL,13,3,0,0.8125,1,414,288,126,0.4375,0.484375,1.0,LostDV,51.0,88.0,1
312,2011,NFC,NFC South,ATL,10,6,0,0.625,2,402,350,52,0.375,0.480469,5.0,LostWC,-12.0,-74.0,0
344,2012,NFC,NFC South,ATL,13,3,0,0.8125,1,419,299,120,0.418269,0.421875,1.0,LostCC,17.0,68.0,1
376,2013,NFC,NFC South,ATL,4,12,0,0.25,3,353,443,-90,0.3125,0.550781,NaN,NaN,-66.0,-210.0,0
408,2014,NFC,NFC South,ATL,6,10,0,0.375,3,381,417,-36,0.375,0.476562,NaN,NaN,28.0,54.0,1
440,2015,NFC,NFC South,ATL,8,8,0,0.5,2,339,345,-6,0.453125,0.480469,NaN,NaN,-42.0,30.0,1
472,2016,NFC,NFC South,ATL,11,5,0,0.6875,1,540,406,134,0.448864,0.476562,2.0,LostSB,201.0,140.0,1
504,2017,NFC,NFC South,ATL,10,6,0,0.625,3,353,315,38,0.475,0.542969,6.0,LostDV,-187.0,-96.0,0
536,2018,NFC,NFC South,ATL,7,9,0,0.4375,2,414,423,-9,0.348214,0.476562,NaN,NaN,61.0,-47.0,0
568,2019,NFC,NFC South,ATL,7,9,0,0.4375,2,381,399,-18,0.517857,0.542969,NaN,NaN,-33.0,-9.0,0
600,2020,NFC,NFC South,ATL,0,4,0,0.0,4,106,138,-32,0.0,0.0507812,NaN,NaN,-275.0,-14.0,0
25,2002,NFC,NFC South,CAR,7,9,0,0.4375,4,258,302,-44,0.357143,0.480469,NaN,NaN,135.0,-67.0,0
57,2003,NFC,NFC South,CAR,11,5,0,0.6875,1,325,304,21,0.397727,0.445312,3.0,LostSB,67.0,65.0,1
89,2004,NFC,NFC South,CAR,7,9,0,0.4375,3,355,339,16,0.366071,0.507812,NaN,NaN,30.0,-5.0,0
